perfil,alpha_rad,alpha_deg,CL,CD,CM
otimizado,0.006795,0.3893,0.260136,0.017579,-0.090394
otimizado,0.015521,0.8893,0.347335,0.016717,-0.093942
otimizado,0.024248,1.3893,0.437601,0.017301,-0.095704
otimizado,0.032975,1.8893,0.537466,0.018618,-0.095676
otimizado,0.041701,2.3893,0.731888,0.011644,-0.096992
otimizado,0.050428,2.8893,0.830388,0.020450,-0.107053
otimizado,0.059155,3.3893,0.908394,0.031753,-0.115715
otimizado,0.067881,3.8893,0.978514,0.044531,-0.123997
otimizado,0.076608,4.3893,1.045241,0.058590,-0.132693
RAE2822,0.006795,0.3893,0.423767,0.005918,-0.106491
RAE2822,0.015521,0.8893,0.516042,0.006607,-0.107885
RAE2822,0.024248,1.3893,0.611242,0.007546,-0.108794
RAE2822,0.032975,1.8893,0.711807,0.008683,-0.108396
RAE2822,0.041701,2.3893,0.820156,0.011537,-0.108950
RAE2822,0.050428,2.8893,0.924799,0.018135,-0.113423
RAE2822,0.059155,3.3893,1.020158,0.028158,-0.121034
RAE2822,0.067881,3.8893,1.111013,0.040822,-0.131049
RAE2822,0.076608,4.3893,1.189904,0.055112,-0.141038
