perfil,alpha_rad,alpha_deg,CL,CD,CM
otimizado,-0.007634,-0.4374,0.369518,0.006577,-0.108827
otimizado,0.001092,0.0626,0.461719,0.007106,-0.110207
otimizado,0.009819,0.5626,0.556392,0.008002,-0.111721
otimizado,0.018546,1.0626,0.652839,0.009614,-0.112407
otimizado,0.027272,1.5626,0.767739,0.008871,-0.108728
otimizado,0.035999,2.0626,0.880407,0.013713,-0.115088
otimizado,0.044726,2.5626,0.974042,0.022549,-0.123669
otimizado,0.053452,3.0626,1.061521,0.033982,-0.134114
otimizado,0.062179,3.5626,1.138667,0.046837,-0.143875
RAE2822,-0.007634,-0.4374,0.273801,0.005263,-0.103519
RAE2822,0.001092,0.0626,0.364187,0.005602,-0.105382
RAE2822,0.009819,0.5626,0.455578,0.006129,-0.107028
RAE2822,0.018546,1.0626,0.548624,0.006902,-0.108270
RAE2822,0.027272,1.5626,0.645191,0.007930,-0.108884
RAE2822,0.035999,2.0626,0.749342,0.009294,-0.108249
RAE2822,0.044726,2.5626,0.857367,0.013402,-0.110103
RAE2822,0.053452,3.0626,0.958674,0.021272,-0.115764
RAE2822,0.062179,3.5626,1.052690,0.032297,-0.124378
