funcao,variavel,passo,adjunto,dif_central,erro_rel
CL,alpha,0.001,10.2152045,10.214198,9.85295987e-05
CD,alpha,0.001,0.538436216,0.5384668,5.680152837e-05
CL,alpha,0.0001,10.2152045,10.215395,1.864867218e-05
CD,alpha,0.0001,0.538436216,0.5384325,6.901467409e-06
CL,Au0,0.001,0.5950168911,0.620913,0.04352163661
CD,Au0,0.001,0.1660502996,0.1666607,0.003675996772
CL,Au0,0.0001,0.5950168911,0.62064,0.0430628261
CD,Au0,0.0001,0.1660502996,0.1666515,0.003620591874
CL,Au2,0.001,1.119521702,1.123863,0.003877814693
CD,Au2,0.001,-0.0197188775,-0.02006465,0.0175351005
CL,Au2,0.0001,1.119521702,1.12348,0.003535704309
CD,Au2,0.0001,-0.0197188775,-0.020082,0.01841496803
