variavel,passo,CD,CL,tmax,bluntez,barrado_por
Al1,-0.06,0.014776985,0.73188213,0.18224529,0.10601316,nada -- c_d piorou
Al1,-0.03,0.012864113,0.731104,0.17902381,0.10015181,nada -- c_d piorou
Al1,-0.015,0.012192884,0.73169825,0.17747226,0.097168328,nada -- c_d piorou
Al1,0.015,0.011218595,0.73170419,0.17448118,0.091098629,espessura, bluntez
Al1,0.03,0.010922489,0.73102812,0.17304096,0.088013112,espessura, bluntez
Al1,0.06,0.016567493,0.6759007,0.1702632,0.081744194,espessura, bluntez, c_l fora do alvo
Al2,-0.06,0.016008951,0.7318197,0.18614942,0.091941758,bluntez
Al2,-0.03,0.013115934,0.73002939,0.18105155,0.09302194,bluntez
Al2,-0.015,0.012236765,0.73137116,0.17850419,0.093579983,bluntez
Al2,0.015,0.011218604,0.73126317,0.17341367,0.094733854,espessura
Al2,0.03,0.01108154,0.73451779,0.17087098,0.095330477,espessura
Al2,0.06,0.012258516,0.77557545,0.16579031,0.096565694,espessura, c_l fora do alvo
Al3,-0.03,0.012316617,0.73185413,0.17888737,0.093378555,bluntez
Al3,-0.015,0.0118769,0.73111714,0.17741291,0.093764735,nada -- c_d piorou
Al3,0.015,0.011439537,0.73090181,0.17452441,0.094535374,espessura
Al3,0.03,0.011414252,0.73246914,0.17311145,0.094919335,espessura
Al3,0.06,0.012610807,0.76907487,0.17035046,0.095683318,espessura, c_l fora do alvo
Al4,-0.06,0.013294248,0.73029127,0.17707923,0.093852002,espessura
Al4,-0.03,0.013680792,0.75007227,0.17651127,0.094002867,espessura, c_l fora do alvo
Al4,-0.015,0.011894478,0.73187028,0.17623305,0.094077035,espessura
Au1,-0.03,0.023035781,0.61901846,0.17304096,0.088013112,espessura, bluntez, c_l fora do alvo
Au1,0.015,0.013145971,0.73166302,0.17747226,0.097168328,nada -- c_d piorou
Au1,0.03,0.015800378,0.73183435,0.17902381,0.10015181,nada -- c_d piorou
Au1,0.06,0.022627685,0.73204696,0.18224529,0.10601316,nada -- c_d piorou
Au2,-0.06,0.011658113,0.7325153,0.17402291,0.09459294,espessura
Au2,-0.03,0.011658113,0.7325153,0.17402291,0.09459294,espessura
Au2,-0.015,0.011658113,0.7325153,0.17402291,0.09459294,espessura
Au2,0.015,0.012661961,0.73182687,0.17850419,0.093579983,bluntez
Au2,0.03,0.014548745,0.73182978,0.18105155,0.09302194,bluntez
Au2,0.06,0.021076754,0.7315904,0.18614942,0.091941758,bluntez
Au3,-0.06,0.017794363,0.73171373,0.17035046,0.095683318,espessura
Au3,-0.03,0.013629242,0.73190261,0.17311145,0.094919335,espessura
Au3,-0.015,0.012101132,0.73118359,0.17452441,0.094535374,espessura
Au3,0.015,0.012855726,0.74163238,0.17741291,0.093764735,c_l fora do alvo
Au3,0.03,0.023917833,0.6472713,0.17888737,0.093378555,bluntez, c_l fora do alvo
Au3,0.06,0.030640289,0.60379751,0.18189372,0.092605725,bluntez, c_l fora do alvo
Au4,-0.06,0.015952134,0.73135201,0.17489173,0.094437087,espessura
Au4,-0.03,0.013339342,0.73178852,0.17541867,0.094295148,espessura
Au4,-0.015,0.012197791,0.73002348,0.17568698,0.09422312,espessura
Au4,0.015,0.011686354,0.73846358,0.17623305,0.094077035,espessura, c_l fora do alvo
Au4,0.06,0.015903551,0.83316839,0.17707923,0.093852002,espessura, c_l fora do alvo
