d_alpha_deg,alpha,CL,CD,CM,mach_max,convergiu,n_iter,residuo
-1.0,0.024248143,0.43760051,0.017300679,-0.095704371,1.2718661,True,8907,2.2988728e-09
-0.9,0.025993472,0.45618841,0.017567463,-0.095871136,1.2736781,True,8802,5.6470811e-12
-0.8,0.027738801,0.47561077,0.017858513,-0.095996808,1.2765069,True,8802,2.5989964e-11
-0.7,0.029484131,0.4954762,0.01812943,-0.095928275,1.2810956,False,20001,2.2091833e-05
-0.6,0.03122946,0.51563063,0.018398282,-0.095794696,1.2830419,True,8802,1.1282353e-10
-0.5,0.032974789,0.53746559,0.018618479,-0.0956761,1.2828005,True,8602,2.5934869e-09
-0.4,0.034720118,0.56157771,0.018606775,-0.095341589,1.2872256,True,9102,6.7621406e-09
-0.3,0.036465448,0.58784319,0.018403851,-0.094891895,1.2966215,True,9603,3.4427904e-12
-0.2,0.038210777,0.62204549,0.017423074,-0.094273468,1.3074898,True,12515,1.2555171e-09
-0.1,0.039956106,0.68535401,0.01209924,-0.093144626,1.3222644,False,20001,5.6511056e-05
-0.0,0.041701435,0.73188753,0.011643776,-0.096992163,1.3335893,True,14004,1.585289e-09
0.1,0.043446765,0.75520764,0.012990432,-0.099204294,1.3409122,True,11102,8.3328098e-09
0.2,0.045192094,0.77559482,0.014638761,-0.10123877,1.3477204,True,9503,3.9174756e-11
0.3,0.046937423,0.79464065,0.016460696,-0.10321118,1.3542763,True,9202,6.6905686e-10
0.4,0.048682752,0.81284193,0.018401963,-0.10514166,1.3606695,True,9202,3.5602082e-10
0.5,0.050428082,0.83038793,0.020449777,-0.10705307,1.3669275,True,9202,3.7113054e-10
0.6,0.052173411,0.84729045,0.022586429,-0.10892675,1.3806248,False,20001,1.8883342e-07
0.7,0.05391874,0.86351637,0.024791684,-0.11072574,1.3968552,False,20001,0.00038821463
0.8,0.055664069,0.87922808,0.027070501,-0.11249578,1.4069359,False,20001,0.0015334261
0.9,0.057409399,0.89413663,0.029391905,-0.11415211,1.4078327,False,20001,0.00018590912
1.0,0.059154728,0.90839363,0.03175323,-0.11571464,1.4012541,True,9802,6.7897778e-11
