estacao,variante,eta,corda_m,corda_normal_m,Mach_normal,Reynolds_normal,cl_projeto,tc_requerido,alpha_deg,cl,cd,cm,tc_max,x_tc_max,camber_max,x_camber_max,t_01,bluntez,bluntez_limiar,clmax_xfoil,clmax_corrigido,Al1,Al2,Al3,Al4,Au1,Au2,Au3,Au4,n_avaliacoes
raiz,partida_NACA1411_reescalado,0.101,9.13,7.729,0.7196,43430000,0.5997,0.2179,3,0.52794048,0.071560778,-0.056215117,0.2179,0.29603394,0.010121171,0.41790658,0.060736891,0.13011397,0.122005,nan,nan,-0.30119949,-0.24397268,-0.22288781,-0.24597011,0.31371891,0.32416445,0.26109894,0.32276426,0
raiz,otimizado,0.101,9.13,7.729,0.7196,43430000,0.5997,0.2179,3.4568261,0.59937285,0.019857304,-0.051394437,0.21676351,0.41016963,-0.029976905,0.22058444,0.056951641,0.12232442,0.122005,1.9591,1.7191,-0.3705226,-0.29005977,-0.47003581,-0.05,0.21174251,0.05,0.53648966,0.082196821,14
raiz,otimizado_cusp_liberado,0.101,9.13,7.729,0.7196,43430000,0.5997,0.2179,-0.4127657,0.5996978,0.0091965291,-0.21940472,0.21636932,0.35485766,0.023320401,0.84936375,0.067158644,0.14437902,0.122005,2.2895,2.0495,-0.42036391,-0.16058527,-0.62656089,0.28898622,0.26855904,0.16702603,0.30270399,0.43185041,32
meio,partida_NACA1411_reescalado,0.398,6.899,5.841,0.7196,32820000,0.7319,0.1772,3,0.66723859,0.055979336,-0.064789916,0.1772,0.29603394,0.010121171,0.41790658,0.049392277,0.11733489,0.09382,nan,nan,-0.24377136,-0.19091352,-0.17768758,-0.19285517,0.25629078,0.27110529,0.21589871,0.26964932,0
meio,otimizado,0.398,6.899,5.841,0.7196,32820000,0.7319,0.1772,2.3893162,0.73188753,0.011643776,-0.096992163,0.1759584,0.36239105,-0.015228923,0.24886723,0.039493651,0.094150424,0.09382,2.0357,1.7957,-0.18114255,-0.3956483,-0.13207871,-0.05,0.21596806,0.061408819,0.4426755,0.14102986,31
meio,otimizado_sem_restricao_clmax,0.398,6.899,5.841,0.7196,32820000,0.7319,0.1772,2.7618868,0.73189847,0.010663543,-0.070731159,0.17619051,0.39860635,-0.014413744,0.30322959,0.026831398,0.063922247,0.09382,1.0424,0.8024,-0.072446452,-0.44583923,-0.17616332,-0.05,0.19088098,0.075959243,0.41389172,0.13849264,24
meio,otimizado_cusp_liberado,0.398,6.899,5.841,0.7196,32820000,0.7319,0.1772,0.73067271,0.7318886,0.0082152247,-0.16510208,0.17593954,0.38136898,0.018699282,0.81719664,0.039493651,0.094155471,0.09382,2.1581,1.9181,-0.18035559,-0.2753776,-0.34802243,0.14328443,0.21801209,0.13947144,0.29850764,0.32461893,183
ponta,partida_NACA1411_reescalado,0.9,3.125,2.646,0.7196,14870000,0.7677,0.1082,3,0.73411364,0.024821573,-0.045619772,0.1082,0.29603394,0.010121171,0.41790658,0.030159392,0.091687252,0.097767,nan,nan,-0.14641163,-0.10096065,-0.10105819,-0.10280774,0.15893105,0.18115242,0.13926932,0.17960189,0
ponta,otimizado,0.9,3.125,2.646,0.7196,14870000,0.7677,0.1082,1.5724863,0.76773861,0.0088717831,-0.10871656,0.10763278,0.33433106,0.024025691,0.56071813,0.03241157,0.09879337,0.097767,2.142,1.902,-0.13962794,-0.088897542,-0.05,-0.05,0.19142973,0.11703746,0.3181438,0.17168716,120
ponta,otimizado_cusp_liberado,0.9,3.125,2.646,0.7196,14870000,0.7677,0.1082,0.092539962,0.76770969,0.008428659,-0.16881702,0.13091988,0.32142721,0.027515519,0.6563747,0.035615287,0.098431397,0.097767,2.0307,1.7907,-0.11754016,-0.17776606,-0.065077014,0.049993442,0.24355662,0.13733485,0.3166979,0.26900548,22
