idx,status,r_LE_sup,r_LE_inf,delta_y,t_01,t_05,t_max,x_tmax,t_min,c_max,x_cmax,camber_085,dcamber_te,clmax,alpha_clmax,situacao,confiavel,n_pontos,n_buracos,alpha_max_conv,incl_linear,incl_fim,razao_incl,tentativas,passo_final,Au0,Au1,Au2,Au3,Al0,Al1,Al2,Al3
0,ok,0.00208563,0.00177474,1.68922,0.012769,0.0312383,0.0909827,0.417907,0.00843743,0.00985412,0.433439,0.00443937,-0.0327415,0.8882,8.5,topo_achatado,1,18,0,8.5,0.107066,0.0259,0.241907,1,0.5,0.0645853,0.183492,0.141262,0.181944,-0.0595776,-0.1033,-0.103051,-0.10515
1,ok,0.0029025,0.00246984,1.86648,0.0149122,0.0353017,0.0927016,0.404381,0.00843745,0.00988481,0.431494,0.00443958,-0.0327418,0.9616,8,queda,1,21,3,11.5,0.108628,-0.0391559,-0.360459,1,0.5,0.0761905,0.183492,0.141262,0.181944,-0.0702829,-0.1033,-0.103051,-0.10515
2,ok,0.00385404,0.00327955,2.04375,0.0170553,0.0393651,0.0945512,0.390928,0.00843747,0.00991585,0.429549,0.00443979,-0.032742,1.1908,10.25,queda,1,127,5,10.375,0.109723,-0.07896,-0.719627,3,0.125,0.0877957,0.183492,0.141262,0.181944,-0.0809882,-0.1033,-0.103051,-0.10515
3,ok,0.00494027,0.00420386,2.22101,0.0191984,0.0434284,0.0965428,0.377558,0.00843749,0.00994724,0.427606,0.00444,-0.0327423,1.4248,12,queda,1,40,4,22,0.109693,0.0313,0.285341,1,0.5,0.0994009,0.183492,0.141262,0.181944,-0.0916936,-0.1033,-0.103051,-0.10515
4,ok,0.00616117,0.00524277,2.39828,0.0213416,0.0474918,0.0986885,0.362391,0.00843751,0.00997898,0.425664,0.00444021,-0.0327426,1.5499,13.5,queda,1,44,4,24.5,0.110548,0.0244714,0.221364,1,0.5,0.111006,0.183492,0.141262,0.181944,-0.102399,-0.1033,-0.103051,-0.10515
5,ok,0.00751675,0.00639629,2.57554,0.0234847,0.0515551,0.100998,0.34736,0.00843752,0.0100111,0.423723,0.00444042,-0.0327428,1.6867,14.5,queda,1,39,4,21,0.111023,-0.11946,-1.07599,1,0.5,0.122611,0.183492,0.141262,0.181944,-0.113104,-0.1033,-0.103051,-0.10515
6,ok,0.00900702,0.00766441,2.7528,0.0256278,0.0556185,0.103478,0.330631,0.00843754,0.0100435,0.421783,0.00444063,-0.0327431,1.7917,16,queda,1,52,4,28,0.111659,0.02788,0.249688,1,0.5,0.134216,0.183492,0.141262,0.181944,-0.12381,-0.1033,-0.103051,-0.10515
7,ok,0.010632,0.00904714,2.93007,0.027771,0.0596819,0.106135,0.315938,0.00843756,0.0100764,0.419844,0.00444084,-0.0327433,1.8897,17.5,queda,1,54,5,30,0.112252,0.01972,0.175676,1,0.5,0.145822,0.183492,0.141262,0.181944,-0.134515,-0.1033,-0.103051,-0.10515
8,ok,0.0123916,0.0105445,3.10733,0.0299141,0.0637452,0.108968,0.301426,0.00843758,0.0101096,0.417907,0.00444105,-0.0327436,1.9548,19,queda,1,139,3,30,0.112916,0.02412,0.213611,2,0.25,0.157427,0.183492,0.141262,0.181944,-0.14522,-0.1033,-0.103051,-0.10515
9,ok,0.0142859,0.0121564,3.2846,0.0320572,0.0678086,0.111974,0.28711,0.0084376,0.0101431,0.41597,0.00444126,-0.0327439,1.9956,18.75,queda,1,134,6,30,0.113636,0.0147864,0.130121,2,0.25,0.169032,0.183492,0.141262,0.181944,-0.155926,-0.1033,-0.103051,-0.10515
