idx,status,r_LE_sup,r_LE_inf,delta_y,t_01,t_05,t_max,x_tmax,t_min,c_max,x_cmax,camber_085,dcamber_te,clmax,alpha_clmax,situacao,confiavel,n_pontos,n_buracos,alpha_max_conv,incl_linear,incl_fim,razao_incl,tentativas,passo_final,Au0,Au1,Au2,Au3,Al0,Al1,Al2,Al3
0,ok,0.0437152,0.056099,5.80281,0.0620849,0.13058,0.228119,0.360504,0.0216224,0.00767951,0.317765,0.000930829,-0.0124478,nan,nan,vazia,0,0,0,nan,nan,nan,nan,2,0.25,0.295686,0.333574,0.293399,0.39378,-0.33496,-0.176746,-0.385225,-0.337682
1,ok,0.0495124,0.0832662,5.77782,0.070635,0.144494,0.225924,0.338041,0.0199281,-0.0075325,0.063752,-0.00264517,0.0308631,nan,nan,vazia,0,0,0,nan,nan,nan,nan,1,0.5,0.314682,0.239614,0.412754,0.277823,-0.408084,-0.167265,-0.340647,-0.384536
2,ok,0.0673113,0.0326769,7.0854,0.0620649,0.136339,0.253765,0.308658,0.0186648,0.0121384,0.131509,0.0011945,-0.00435431,1.4431,21,queda,1,54,6,30,0.0750242,-0.01444,-0.192471,1,0.5,0.36691,0.388616,0.269654,0.317342,-0.255644,-0.383923,-0.207295,-0.323277
3,ok,0.01038,0.0676747,3.31104,0.0504146,0.106164,0.188335,0.368063,0.0167665,-0.0187723,0.0726573,0.00769694,-0.0772592,1.7193,22.5,queda,1,55,2,28,0.0885434,-0.0486,-0.548884,1,0.5,0.144083,0.290612,0.20958,0.407883,-0.367899,-0.127379,-0.373353,-0.153942
4,ok,0.0373481,0.0661198,5.74058,0.0628326,0.133022,0.225919,0.305036,0.0124333,0.0217917,0.50589,0.015993,-0.133425,1.7932,22,queda,1,58,3,30,0.0939121,-0.0135,-0.143751,1,0.5,0.273306,0.410743,0.286605,0.38309,-0.363648,-0.14909,-0.311377,-0.0173033
5,ok,0.0545922,0.059861,5.7503,0.0658439,0.132317,0.181048,0.209293,0.0128077,0.0183363,0.817197,0.0179401,-0.165092,2.348,22,queda,1,59,2,30,0.115376,-0.0014,-0.0121343,1,0.5,0.330431,0.182191,0.157397,0.459124,-0.346009,-0.110574,-0.297187,0.0307537
6,descartado_t_max,0.023679,0.0075515,3.99353,0.0335779,0.0712785,0.142895,0.412102,0.00876357,0.0111528,0.123649,0.000731965,-0.0154357,,,,,,,,,,,,,,,,,,,,
7,ok,0.0422638,0.0155917,5.46939,0.0465606,0.102603,0.224381,0.383277,0.00738448,0.0101339,0.0788914,0.00205908,-0.0229592,1.565,17,queda,1,57,4,30,0.119444,-0.0249593,-0.208963,1,0.5,0.290736,0.257574,0.380991,0.136006,-0.176588,-0.307882,-0.427722,-0.0587031
8,ok,0.0565483,0.0880175,6.14094,0.0744049,0.156224,0.256663,0.301426,0.0208522,-0.0133124,0.1723,0.00717673,-0.0551861,1.6811,23.75,queda,1,116,12,29.75,0.087074,0.02656,0.305028,2,0.25,0.336298,0.250946,0.374046,0.415277,-0.419565,-0.359926,-0.269909,-0.290762
9,ok,0.0218007,0.00903506,4.39579,0.0349005,0.0823268,0.209927,0.379462,0.0097259,-0.00825999,0.49411,0.00394202,-0.0516534,1.4864,19,queda,1,56,4,30,0.113216,-0.03664,-0.32363,1,0.5,0.208809,0.317328,0.207513,0.248002,-0.134425,-0.33942,-0.400244,-0.0514793
