idx,status,r_LE_sup,r_LE_inf,delta_y,t_01,t_05,t_max,x_tmax,t_min,c_max,x_cmax,camber_085,dcamber_te,clmax,alpha_clmax,situacao,confiavel,n_pontos,n_buracos,alpha_max_conv,incl_linear,incl_fim,razao_incl,tentativas,passo_final,Au0,Au1,Au2,Au3,Al0,Al1,Al2,Al3
0,ok,0.0304941,0.010048,4.44524,0.0382526,0.0801651,0.126979,0.266035,0.00637727,0.0121866,0.119797,0.00348769,-0.0426705,1.9009,17.5,queda,1,57,4,30,0.119189,0.01524,0.127864,1,0.5,0.246958,0.180336,0.0636294,0.183643,-0.14176,-0.130308,-0.220377,-0.0237782
1,ok,0.00624782,0.0144851,2.42886,0.0281897,0.0626523,0.127168,0.338041,0.00582104,0.015434,0.572394,0.00424737,-0.0128307,1.6224,14.5,queda,1,46,4,24.5,0.117165,0.0328343,0.28024,1,0.5,0.111784,0.178621,0.299611,0.0709227,-0.170206,-0.196591,-0.0301735,-0.111545
2,ok,0.010816,0.0138219,2.5342,0.0306521,0.0629594,0.100851,0.343625,0.00750742,-0.0122826,0.507854,-0.00463961,0.0278066,1.7818,17,queda,1,57,3,30,0.113866,0.0250686,0.220159,1,0.5,0.147078,0.0715466,0.112852,0.101491,-0.166264,-0.114778,-0.234968,-0.141955
3,ok,0.0207667,0.0037212,3.93651,0.0291995,0.0661796,0.12761,0.288889,0.00919448,0.0118163,0.10856,0.00234907,-0.0158793,1.6745,15,queda,1,27,6,17,0.114948,-0.106029,-0.922403,1,0.5,0.203798,0.2203,0.0845359,0.177888,-0.0862693,-0.237399,-0.0340514,-0.148345
4,ok,0.0330657,0.00850698,4.91994,0.0384648,0.0830074,0.139927,0.266035,0.00858839,0.01908,0.196659,0.00413761,-0.0342375,1.839,16.5,queda,1,46,6,25.5,0.116717,-0.03496,-0.299527,1,0.5,0.25716,0.266382,0.0857834,0.196656,-0.130438,-0.155076,-0.10394,-0.100702
5,ok,0.00411486,0.00941308,2.50172,0.0229623,0.0526463,0.140304,0.441231,0.0123739,0.0127637,0.325101,0.00231979,-0.0241221,1.1221,11.5,falha_conv,0,145,7,11.5,0.090572,0.4176,4.6107,3,0.125,0.0907178,0.294258,0.180964,0.250806,-0.137208,-0.0678285,-0.288823,-0.159974
6,ok,0.00198693,0.0304336,1.76993,0.0310727,0.0699914,0.157808,0.387099,0.0126396,-0.0203475,0.121075,0.00358445,-0.0265761,0.6728,7.25,falha_conv,0,90,4,7.25,0.100884,0.113503,1.12509,3,0.125,0.0630386,0.204886,0.252814,0.239626,-0.246713,-0.243463,-0.191481,-0.183072
7,ok,0.00936806,0.0178331,2.64334,0.0325591,0.0721834,0.1379,0.310474,0.00923997,-0.0136198,0.227132,-0.00433581,0.0444929,1.6976,17.75,queda,1,116,2,22.25,0.115709,-0.19844,-1.715,2,0.25,0.13688,0.139362,0.189148,0.0811944,-0.188855,-0.29407,-0.0654105,-0.234068
8,ok,0.00833828,0.0313021,3.10654,0.037535,0.0803933,0.142618,0.310474,0.00441268,0.0215514,0.49411,0.00924554,-0.0654323,1.9169,18,queda,1,55,4,29,0.117905,0.00598,0.0507189,1,0.5,0.129138,0.295207,0.245502,0.135264,-0.250208,-0.0771034,-0.146839,0.0105151
9,ok,0.00781418,0.0126798,2.84046,0.0281169,0.0604587,0.141091,0.476447,0.0138062,0.0182293,0.394764,0.00318628,-0.0175943,1.6377,18,queda,1,45,4,24,0.0802406,-0.11464,-1.4287,1,0.5,0.125013,0.235953,0.298363,0.242318,-0.159247,-0.0371859,-0.243444,-0.214741
10,ok,0.022097,0.0208344,4.12768,0.0407124,0.0847201,0.126818,0.228779,0.0026584,0.0173159,0.368063,0.00552273,-0.0411222,2.117,18.5,queda,1,59,1,29.5,0.122309,-0.02628,-0.214866,1,0.5,0.210224,0.243754,0.118643,0.0893697,-0.204129,-0.0666662,-0.0967364,0.0125094
11,ok,0.00297028,0.0335716,1.47973,0.0327721,0.0666052,0.122822,0.482332,0.011474,-0.0203014,0.132839,0.00258605,-0.0291928,nan,nan,vazia,0,0,0,nan,nan,nan,nan,1,0.5,0.0770751,0.0678117,0.231501,0.236168,-0.25912,-0.0908199,-0.299012,-0.136377
12,ok,0.00693344,0.0125139,2.69219,0.0273956,0.059296,0.104669,0.288889,0.00374773,0.0116943,0.360504,0.00242472,-0.0198323,1.7437,14.5,queda,1,49,1,24.5,0.118227,0.01328,0.112327,1,0.5,0.117758,0.239123,0.0920188,0.0883343,-0.158202,-0.0633917,-0.128317,-0.0282134
13,ok,0.0123907,0.0239342,2.80835,0.0368094,0.0756091,0.117604,0.306846,0.0082699,0.00770945,0.572394,5.12632e-05,0.0165319,1.9406,20,queda,1,149,6,30,0.115105,0.0162,0.140741,2,0.25,0.157421,0.0922716,0.287035,0.08396,-0.218788,-0.134444,-0.0855724,-0.185134
14,ok,0.0122361,0.0216693,3.0042,0.0362217,0.0787466,0.150515,0.338041,0.00823162,-0.0101217,0.1951,-0.00387815,0.040917,1.8165,19.625,queda,1,318,7,30,0.116421,0.03216,0.276239,3,0.125,0.156436,0.151603,0.264606,0.0608004,-0.208179,-0.255395,-0.150895,-0.202347
15,ok,0.00515549,0.00631188,2.64396,0.0215346,0.0492348,0.127484,0.433439,0.0109443,0.021834,0.36428,0.00167153,-0.00367782,1.4303,14.5,queda,1,34,3,19,0.0929433,-0.10286,-1.1067,1,0.5,0.101543,0.284469,0.236337,0.175827,-0.112356,-0.0505979,-0.181622,-0.187223
16,ok,0.00761572,0.00350108,2.45326,0.021067,0.049767,0.126578,0.373754,0.00469155,0.0223682,0.740877,0.0188191,-0.150593,1.7368,12.5,queda,1,43,2,22,0.116349,0.02946,0.253203,1,0.5,0.123416,0.138632,0.263555,0.253984,-0.0836789,-0.2608,-0.105841,0.116891
17,ok,0.0125251,0.00628372,2.93381,0.0269612,0.059128,0.103306,0.271257,0.01004,-0.00362174,0.811087,-0.00353293,0.0328694,1.7898,18,queda,1,48,2,25.5,0.112863,0.02294,0.203256,1,0.5,0.158273,0.137269,0.0654737,0.129861,-0.112105,-0.20158,-0.0209673,-0.230866
18,ok,0.0242771,0.0235653,3.68449,0.0431393,0.0911953,0.154355,0.315938,0.0142801,-0.0293494,0.427606,-0.00548753,0.0227509,1.8002,20,queda,1,60,1,30,0.110677,-0.00712,-0.0643314,1,0.5,0.22035,0.0818212,0.0825364,0.246427,-0.217096,-0.298622,-0.294551,-0.243172
19,ok,0.0273152,0.0105079,4.05054,0.036865,0.0741439,0.102575,0.218958,0.0057408,0.0124863,0.152044,-0.0026087,0.0130092,1.8573,17,queda,1,53,8,30,0.117616,0.02056,0.174806,1,0.5,0.233732,0.126634,0.0786583,0.0915449,-0.144968,-0.0378812,-0.209537,-0.0924679
20,ok,0.0276088,0.00266984,4.08758,0.0304429,0.0651517,0.130779,0.381369,0.00299973,0.0151531,0.0875665,0.00895766,-0.0847527,nan,nan,vazia,0,0,0,nan,nan,nan,nan,3,0.125,0.234984,0.122317,0.22119,0.157998,-0.0730731,-0.164833,-0.298478,0.0969485
21,ok,0.0255981,0.00744021,4.00776,0.0343131,0.072413,0.129615,0.373754,0.0127478,0.0153984,0.578217,0.0079357,-0.0519154,1.8299,19.5,queda,1,43,2,22,0.101776,-0.28894,-2.83898,1,0.5,0.226266,0.132522,0.288122,0.261086,-0.121985,-0.159084,-0.101351,-0.171178
22,ok,0.0322,0.019252,4.93218,0.044774,0.097903,0.188809,0.326941,0.0048035,0.00728271,0.682235,0.00585034,-0.0475018,1.9003,19.5,queda,1,56,3,29,0.123197,-0.05818,-0.472253,1,0.5,0.253771,0.271619,0.279507,0.123951,-0.196224,-0.254692,-0.254092,-0.00153307
23,ok,0.0138855,0.00728807,3.18447,0.0286828,0.0634261,0.131565,0.369958,0.0107877,0.0103554,0.562667,0.00265452,-0.00607775,1.794,17,queda,1,47,6,27,0.108982,0.00260678,0.0239193,1,0.5,0.166646,0.157356,0.276756,0.162308,-0.120732,-0.2092,-0.0771783,-0.200865
24,ok,0.0111751,0.0227891,2.65095,0.0358946,0.0767654,0.14247,0.360504,0.0117508,-0.0213578,0.330631,-0.00413631,0.0251807,1.7203,19,queda,1,56,4,30,0.110444,-0.1817,-1.64518,1,0.5,0.1495,0.0894015,0.174112,0.173736,-0.21349,-0.258857,-0.241702,-0.219175
25,ok,0.0136472,0.0148734,3.16258,0.0336879,0.0741542,0.136851,0.297828,0.00814626,0.00924576,0.830656,0.00915458,-0.0850238,2.0129,19.5,queda,1,57,1,28.5,0.117165,0.02008,0.171382,1,0.5,0.16521,0.168752,0.097135,0.262183,-0.172472,-0.258369,-0.142413,-0.014216
26,ok,0.0157248,0.0120303,3.79993,0.0332871,0.0745256,0.164124,0.371855,0.00793688,0.0104146,0.323263,0.00639468,-0.054891,1.875,20.5,queda,1,55,3,30,0.111926,-0.03482,-0.311099,1,0.5,0.17734,0.283865,0.237517,0.199822,-0.155115,-0.175377,-0.266744,-0.0440173
27,ok,0.00375817,0.00959882,2.14213,0.022788,0.052859,0.130598,0.389013,0.00841432,-0.00438812,0.069629,-0.000672467,0.0103943,1.1533,13,topo_achatado,1,24,2,13,0.112064,0.01234,0.110116,1,0.5,0.0866968,0.210725,0.210744,0.115917,-0.138556,-0.180675,-0.166758,-0.157563
28,ok,0.0262669,0.00992159,4.57968,0.0367997,0.0801208,0.14526,0.30323,0.0101192,0.0251077,0.389013,0.00473494,-0.0198735,1.7881,18,queda,1,54,6,29.5,0.110636,-0.01624,-0.146787,1,0.5,0.229202,0.280318,0.240341,0.170418,-0.140866,-0.146593,-0.0471591,-0.174167
29,descartado_t_min,0.00960653,0.0149315,2.61349,0.030474,0.0627546,0.103408,0.334331,0.00100231,0.00445165,0.884002,0.00421162,-0.0489813,,,,,,,,,,,,,,,,,,,,
30,ok,0.03096,0.0175615,4.3565,0.0426221,0.0870636,0.132227,0.294243,0.00842939,0.00765663,0.134174,0.00429613,-0.0439984,2.1125,19.5,queda,1,57,4,30,0.115889,-0.0027,-0.0232982,1,0.5,0.248837,0.141277,0.169718,0.207324,-0.187411,-0.100475,-0.260571,-0.0622041
31,ok,0.0113381,0.0315204,3.16653,0.0397575,0.0848924,0.134481,0.23541,0.00622125,0.0179002,0.716436,0.0147532,-0.119945,2.1148,18.5,queda,1,58,3,30,0.118465,0.01702,0.143671,1,0.5,0.150586,0.231806,0.0864557,0.263529,-0.251079,-0.170322,-0.0245758,0.0459461
32,ok,0.00544054,0.00884937,2.5563,0.0238245,0.0537973,0.120959,0.371855,0.00618946,0.0253194,0.550962,0.0143653,-0.105487,1.6175,13.5,queda,1,25,4,14.5,0.112399,-0.05462,-0.485948,1,0.5,0.104312,0.24723,0.260128,0.216494,-0.133037,-0.101213,-0.0992555,0.0231439
33,ok,0.00231275,0.00683759,2.06133,0.0191332,0.047658,0.144976,0.423723,0.0147382,-0.00343027,0.0492724,-0.000666389,0.00211572,0.6855,8,queda,1,83,13,8.25,0.0924445,-0.110327,-1.19344,3,0.125,0.068011,0.270128,0.156851,0.257912,-0.116941,-0.195644,-0.216603,-0.248661
34,ok,0.0201949,0.0328547,3.44286,0.044562,0.0899775,0.126088,0.22385,0.00581412,-0.00727743,0.1606,0.00456879,-0.0403417,2.1695,20.5,queda,1,60,1,30,0.12028,0.01196,0.0994345,1,0.5,0.200972,0.0909687,0.174614,0.146279,-0.256338,-0.122974,-0.176476,-0.0344069
35,ok,0.00697747,0.00311807,2.53807,0.020099,0.0478602,0.124859,0.377558,0.00518695,0.0124819,0.597545,0.00613474,-0.0379346,1.5284,13,queda,1,48,0,23.5,0.116746,0.0313,0.268103,1,0.5,0.118131,0.184026,0.267026,0.105982,-0.0789692,-0.212759,-0.0951469,-0.0500408
36,ok,0.0126175,0.0245463,2.9537,0.0373365,0.0776625,0.131227,0.354858,0.00996782,-0.00696494,0.139573,-0.00526118,0.0422347,1.8164,20,queda,1,60,0,29.5,0.111713,0.01572,0.140717,1,0.5,0.158855,0.13156,0.201975,0.109469,-0.221568,-0.136544,-0.232814,-0.216229
37,ok,0.00530306,0.00432923,2.26776,0.0194369,0.0421282,0.0984742,0.474486,0.0105909,0.0102823,0.253978,0.00496279,-0.0519868,1.3801,12.5,queda,1,32,4,17.5,0.10334,-0.08446,-0.817301,1,0.5,0.102986,0.183696,0.10195,0.268392,-0.0930508,-0.0208251,-0.250504,-0.0881459
38,ok,0.0196822,0.00392228,3.3922,0.0284009,0.0610284,0.123416,0.404381,0.009896,0.00846915,0.0581172,0.00728231,-0.070782,1.5967,15,queda,1,34,0,16.5,0.113642,-0.02934,-0.25818,1,0.5,0.198405,0.0874743,0.177494,0.269489,-0.0885695,-0.194913,-0.240752,-0.0550718
39,descartado_t_min,0.00438786,0.0213251,2.24745,0.0301969,0.068517,0.142558,0.319595,0.00168678,-0.0140483,0.176772,0.00953113,-0.0934297,,,,,,,,,,,,,,,,,,,,
40,descartado_t_min,0.0242159,0.0064483,4.31198,0.0328734,0.0694647,0.124283,0.334331,0.000775727,0.0247568,0.260846,0.0114184,-0.0985273,,,,,,,,,,,,,,,,,,,,
41,ok,0.00428997,0.0261658,2.04355,0.0315784,0.0658588,0.106785,0.312292,0.0106093,-0.0115047,0.069629,-0.000874303,0.0185356,1.2907,12.5,queda,1,33,2,17,0.111129,-0.02998,-0.269778,1,0.5,0.092628,0.160072,0.190687,0.141089,-0.228761,-0.0796533,-0.0877484,-0.222942
42,ok,0.00603822,0.012127,2.05272,0.0263363,0.057052,0.120415,0.390928,0.00381558,0.0176201,0.792302,0.0164957,-0.142017,1.6821,12.5,queda,1,33,0,16,0.118811,-0.0762,-0.641355,1,0.5,0.109893,0.0865284,0.246396,0.240024,-0.155737,-0.190507,-0.218813,0.143801
43,ok,0.0109338,0.0184742,3.29054,0.0341446,0.0771126,0.168846,0.35298,0.00569593,0.0220483,0.718205,0.0180843,-0.14585,2.0056,19.5,queda,1,51,2,26,0.11592,-0.14308,-1.2343,1,0.5,0.147877,0.263911,0.29338,0.266557,-0.19222,-0.237944,-0.192363,0.103652
44,ok,0.0170946,0.0105999,3.30347,0.0327397,0.0703322,0.123833,0.308658,0.00988022,0.00838241,0.792302,0.00782918,-0.0667444,2.0346,19.5,queda,1,58,3,30,0.11402,0.01418,0.124364,1,0.5,0.184903,0.121374,0.151868,0.256839,-0.145601,-0.216549,-0.119995,-0.0806659
