perfil,alpha_rad,alpha_deg,CL,CD,CM
otimizado,0.025426,1.4568,0.086815,0.029882,-0.040680
otimizado,0.034153,1.9568,0.167065,0.029083,-0.044088
otimizado,0.042880,2.4568,0.252799,0.029528,-0.046327
otimizado,0.051606,2.9568,0.351240,0.030319,-0.046885
otimizado,0.060333,3.4568,0.599409,0.019859,-0.056677
otimizado,0.069060,3.9568,0.678047,0.028748,-0.064805
otimizado,0.077786,4.4568,0.737704,0.038984,-0.070238
otimizado,0.086513,4.9568,0.791140,0.050047,-0.074588
otimizado,0.095240,5.4568,0.843996,0.062388,-0.079630
RAE2822,0.025426,1.4568,0.624415,0.007694,-0.108855
RAE2822,0.034153,1.9568,0.726297,0.008864,-0.108294
RAE2822,0.042880,2.4568,0.834729,0.012209,-0.109343
RAE2822,0.051606,2.9568,0.938047,0.019306,-0.114273
RAE2822,0.060333,3.4568,1.032710,0.029726,-0.122272
RAE2822,0.069060,3.9568,1.122404,0.042686,-0.132457
RAE2822,0.077786,4.4568,1.199453,0.057091,-0.142245
RAE2822,0.086513,4.9568,1.266689,0.072423,-0.151352
RAE2822,0.095240,5.4568,1.325494,0.088241,-0.159221
