perfil,x,cp,mach
partida,0.99863047,0.55736621,0.43606136
partida,0.99316737,0.43233588,0.49581677
partida,0.98230103,0.34169674,0.54048315
partida,0.96615049,0.26708190,0.57393104
partida,0.94489272,0.20337003,0.60135510
partida,0.91876060,0.14781652,0.62495033
partida,0.88804045,0.09751732,0.64604098
partida,0.85306886,0.05170523,0.66514866
partida,0.81422896,0.00983578,0.68251141
partida,0.77194631,-0.02874675,0.69841252
partida,0.72668416,-0.06476225,0.71318089
partida,0.67893841,-0.09903199,0.72717399
partida,0.62923217,-0.13246708,0.74077529
partida,0.57811004,-0.16599675,0.75437111
partida,0.52613212,-0.20046659,0.76831094
partida,0.47386788,-0.23649596,0.78285148
partida,0.42188996,-0.27425092,0.79806853
partida,0.37076783,-0.31316064,0.81374336
partida,0.32106159,-0.35156670,0.82922627
partida,0.27331584,-0.38611384,0.84322388
partida,0.22805369,-0.41001082,0.85324223
partida,0.18577104,-0.41096037,0.85244071
partida,0.14693114,-0.38148074,0.83976903
partida,0.11195954,-0.31010723,0.80928783
partida,0.08123940,-0.18360355,0.75589926
partida,0.05510728,0.00843533,0.67531967
partida,0.03384951,0.27202254,0.56452480
partida,0.01769897,0.62363191,0.41964585
partida,0.00683263,1.04110227,0.21545961
partida,0.00136953,1.22232799,0.03919587
partida,0.00136953,1.00435380,0.26262067
partida,0.00683263,0.37921782,0.52982531
partida,0.01769897,-0.18803087,0.72649699
partida,0.03384951,-0.56715694,0.88050612
partida,0.05510728,-0.84540821,1.00329157
partida,0.08123940,-1.04902792,1.09928827
partida,0.11195954,-1.20675927,1.18158237
partida,0.14693114,-1.33615936,1.24627911
partida,0.18577104,-1.44494578,1.30560259
partida,0.22805369,-1.53609230,1.35863146
partida,0.27331584,-1.61207689,1.40526830
partida,0.32106159,-1.67423819,1.44524763
partida,0.37076783,-1.72390565,1.47852906
partida,0.42188996,-1.76241373,1.50525720
partida,0.47386788,-1.79090178,1.52544556
partida,0.52613212,-1.81287252,1.54362270
partida,0.57811004,-1.14960591,0.99862027
partida,0.62923217,-0.20155489,0.60305511
partida,0.67893841,-0.14552768,0.58487483
partida,0.72668416,-0.10499425,0.56703437
partida,0.77194631,-0.06212844,0.54602814
partida,0.81422896,-0.01550700,0.52209657
partida,0.85306886,0.03479970,0.49547949
partida,0.88804045,0.08729370,0.46587877
partida,0.91876060,0.14282568,0.43257563
partida,0.94489272,0.19806997,0.39779921
partida,0.96615049,0.24756958,0.36718837
partida,0.98230103,0.28792473,0.34769596
partida,0.99316737,0.29885312,0.33257004
partida,0.99863047,0.31597461,0.30944538
otimizado,0.99863047,0.49646800,0.48828181
otimizado,0.99316737,0.43991698,0.51163201
otimizado,0.98230103,0.40943114,0.52702925
otimizado,0.96615049,0.39026692,0.53598917
otimizado,0.94489272,0.37780994,0.54163401
otimizado,0.91876060,0.36763519,0.54617776
otimizado,0.88804045,0.35544825,0.55145420
otimizado,0.85306886,0.33782185,0.55907256
otimizado,0.81422896,0.31151709,0.57043928
otimizado,0.77194631,0.27330190,0.58680239
otimizado,0.72668416,0.21967249,0.60939785
otimizado,0.67893841,0.14694090,0.63947416
otimizado,0.62923217,0.05139221,0.67825662
otimizado,0.57811004,-0.05741274,0.72289592
otimizado,0.52613212,-0.19638429,0.77706767
otimizado,0.47386788,-0.35214787,0.83886106
otimizado,0.42188996,-0.52842820,0.90868898
otimizado,0.37076783,-0.85907970,1.04977302
otimizado,0.32106159,-1.02723260,1.12874397
otimizado,0.27331584,-0.88004350,1.06057661
otimizado,0.22805369,-0.69133699,0.98177820
otimizado,0.18577104,-0.47563699,0.89183984
otimizado,0.14693114,-0.24975751,0.80168527
otimizado,0.11195954,-0.02757359,0.71283846
otimizado,0.08123940,0.18504150,0.62527644
otimizado,0.05510728,0.38389269,0.53758349
otimizado,0.03384951,0.59127856,0.44005872
otimizado,0.01769897,0.83326109,0.31600369
otimizado,0.00683263,1.13642087,0.14228897
otimizado,0.00136953,1.21025503,0.09944151
otimizado,0.00136953,0.84695630,0.35923936
otimizado,0.00683263,-0.08113501,0.67706166
otimizado,0.01769897,-0.69941276,0.90390202
otimizado,0.03384951,-1.15743954,1.10739149
otimizado,0.05510728,-1.39604388,1.24143798
otimizado,0.08123940,-1.49670768,1.30981612
otimizado,0.11195954,-1.52452667,1.33358932
otimizado,0.14693114,-1.49033425,1.31517953
otimizado,0.18577104,-1.42691390,1.28048572
otimizado,0.22805369,-1.34380180,1.23612550
otimizado,0.27331584,-1.26040382,1.19321347
otimizado,0.32106159,-1.19237422,1.15922531
otimizado,0.37076783,-1.15276879,1.14019437
otimizado,0.42188996,-1.17749635,1.15273528
otimizado,0.47386788,-1.22135100,1.17483272
otimizado,0.52613212,-1.24936459,1.18964891
otimizado,0.57811004,-1.22480586,1.17667423
otimizado,0.62923217,-1.01009132,1.06176368
otimizado,0.67893841,-0.51652935,0.84547747
otimizado,0.72668416,-0.38632207,0.79168079
otimizado,0.77194631,-0.24077435,0.72971841
otimizado,0.81422896,-0.09315574,0.66744977
otimizado,0.85306886,0.03221962,0.61141598
otimizado,0.88804045,0.14363509,0.56132415
otimizado,0.91876060,0.23067811,0.52048980
otimizado,0.94489272,0.29641309,0.48811229
otimizado,0.96615049,0.34424916,0.46402017
otimizado,0.98230103,0.37641289,0.44879169
otimizado,0.99316737,0.39223465,0.43989334
otimizado,0.99863047,0.40555089,0.43152301
