perfil,x,y
partida,1.00000000,-0.00000000
partida,0.99993769,-0.00001202
partida,0.99975079,-0.00004805
partida,0.99943935,-0.00010808
partida,0.99900343,-0.00019205
partida,0.99844315,-0.00029990
partida,0.99775864,-0.00043155
partida,0.99695009,-0.00058687
partida,0.99601768,-0.00076577
partida,0.99496166,-0.00096808
partida,0.99378228,-0.00119365
partida,0.99247984,-0.00144231
partida,0.99105466,-0.00171386
partida,0.98950710,-0.00200808
partida,0.98783755,-0.00232475
partida,0.98604642,-0.00266361
partida,0.98413415,-0.00302442
partida,0.98210123,-0.00340688
partida,0.97994816,-0.00381070
partida,0.97767548,-0.00423559
partida,0.97528374,-0.00468120
partida,0.97277356,-0.00514722
partida,0.97014556,-0.00563328
partida,0.96740038,-0.00613903
partida,0.96453872,-0.00666409
partida,0.96156128,-0.00720808
partida,0.95846881,-0.00777059
partida,0.95526209,-0.00835122
partida,0.95194190,-0.00894955
partida,0.94850908,-0.00956516
partida,0.94496448,-0.01019761
partida,0.94130899,-0.01084645
partida,0.93754351,-0.01151124
partida,0.93366899,-0.01219152
partida,0.92968639,-0.01288682
partida,0.92559670,-0.01359668
partida,0.92140095,-0.01432061
partida,0.91710017,-0.01505815
partida,0.91269544,-0.01580881
partida,0.90818786,-0.01657210
partida,0.90357855,-0.01734754
partida,0.89886866,-0.01813463
partida,0.89405937,-0.01893288
partida,0.88915186,-0.01974180
partida,0.88414738,-0.02056090
partida,0.87904715,-0.02138968
partida,0.87385246,-0.02222765
partida,0.86856459,-0.02307431
partida,0.86318488,-0.02392918
partida,0.85771464,-0.02479176
partida,0.85215526,-0.02566157
partida,0.84650812,-0.02653812
partida,0.84077461,-0.02742093
partida,0.83495618,-0.02830952
partida,0.82905427,-0.02920340
partida,0.82307036,-0.03010212
partida,0.81700592,-0.03100519
partida,0.81086249,-0.03191216
partida,0.80464158,-0.03282255
partida,0.79834474,-0.03373592
partida,0.79197356,-0.03465180
partida,0.78552960,-0.03556975
partida,0.77901449,-0.03648931
partida,0.77242984,-0.03741006
partida,0.76577730,-0.03833154
