perfil,alpha_deg,cl,cd,cm
partida,-6.0000,-0.518800,0.005920,-0.035500
partida,-5.5000,-0.466700,0.005880,-0.034500
partida,-5.0000,-0.415700,0.005760,-0.033200
partida,-4.5000,-0.362600,0.005640,-0.032400
partida,-4.0000,-0.309700,0.005550,-0.031500
partida,-3.5000,-0.258000,0.005510,-0.030300
partida,-3.0000,-0.204000,0.005430,-0.029600
partida,-2.5000,-0.152900,0.005380,-0.028300
partida,-2.0000,-0.098700,0.005370,-0.027700
partida,-1.5000,-0.046800,0.005310,-0.026500
partida,-1.0000,0.008800,0.005400,-0.026200
partida,-0.5000,0.059300,0.005320,-0.024800
partida,-0.0000,0.112600,0.005310,-0.023900
partida,0.5000,0.165100,0.005330,-0.022900
partida,1.0000,0.217300,0.005390,-0.021800
partida,1.5000,0.269500,0.005440,-0.020800
partida,2.0000,0.320800,0.005530,-0.019600
partida,2.5000,0.372700,0.005600,-0.018500
partida,3.0000,0.426100,0.005570,-0.017700
partida,3.5000,0.475800,0.005740,-0.016200
partida,4.5000,0.577200,0.005930,-0.013600
partida,5.0000,0.626400,0.006020,-0.012000
partida,5.5000,0.674400,0.006210,-0.010200
partida,6.0000,0.725000,0.006280,-0.008900
partida,6.5000,0.773600,0.006450,-0.007200
partida,7.0000,0.819900,0.006640,-0.005100
partida,7.5000,0.866000,0.006740,-0.003000
partida,8.0000,0.906700,0.006900,0.000300
partida,8.5000,0.943500,0.007080,0.004400
partida,9.0000,0.993100,0.007510,0.005700
partida,9.5000,1.020500,0.007570,0.011600
partida,10.0000,1.055000,0.007910,0.015800
partida,10.5000,1.101000,0.008510,0.017500
partida,11.0000,1.132300,0.008420,0.022500
partida,11.5000,1.170100,0.008650,0.025900
partida,12.0000,1.215000,0.009550,0.027300
partida,12.5000,1.252300,0.009200,0.030900
partida,13.0000,1.298400,0.009760,0.031700
partida,13.5000,1.331200,0.010160,0.035900
partida,14.0000,1.488800,0.010580,0.012800
partida,14.5000,1.536400,0.011170,0.013200
partida,15.0000,1.588000,0.011840,0.012600
partida,15.5000,1.617900,0.012640,0.016300
partida,16.0000,1.670500,0.013150,0.015600
partida,16.5000,1.718200,0.014060,0.015100
partida,17.5000,1.792800,0.016220,0.017500
partida,18.0000,1.804100,0.018170,0.022100
partida,18.5000,1.836600,0.019200,0.024000
partida,19.0000,1.852100,0.021280,0.027200
partida,19.5000,1.871900,0.023300,0.029500
partida,20.0000,1.893700,0.025290,0.031400
partida,20.5000,1.908200,0.027950,0.033300
partida,21.5000,1.932700,0.033980,0.036200
partida,22.0000,1.906800,0.040490,0.038000
partida,22.5000,1.895800,0.046190,0.038400
