perfil,alpha_deg,cl,cd,cm
otimizado,0.3724,0.258167,0.017688,-0.092781
otimizado,0.8724,0.345774,0.016852,-0.096211
otimizado,1.3724,0.435864,0.017399,-0.097866
otimizado,1.8724,0.535833,0.018643,-0.097756
otimizado,2.3724,0.731896,0.011822,-0.099013
otimizado,2.8724,0.829975,0.020685,-0.109004
otimizado,3.3724,0.907506,0.031993,-0.117530
otimizado,3.8724,0.977669,0.044788,-0.125792
otimizado,4.3724,1.044518,0.058875,-0.134503
RAE2822,0.3724,0.420670,0.005899,-0.106436
RAE2822,0.8724,0.512883,0.006580,-0.107845
RAE2822,1.3724,0.607962,0.007510,-0.108776
RAE2822,1.8724,0.708237,0.008637,-0.108431
RAE2822,2.3724,0.816509,0.011380,-0.108867
RAE2822,2.8724,0.921502,0.017852,-0.113228
RAE2822,3.3724,1.017024,0.027773,-0.120735
RAE2822,3.8724,1.108104,0.040358,-0.130692
RAE2822,4.3724,1.187472,0.054617,-0.140731
