avaliacao,cd,cl,tc_max,bluntez,tempo_min
1,0.05597934,0.667239,0.178620,0.116867,1.571
2,0.06645996,0.728685,0.178620,0.116867,2.772
3,0.03289360,0.432263,0.179045,0.095343,4.891
4,0.01139234,0.450908,0.177882,0.111974,6.185
5,0.03848842,0.668208,0.177299,0.117654,7.264
6,0.01303044,0.555000,0.177653,0.113986,8.715
7,0.01953617,0.666596,0.177941,0.101919,10.058
8,0.01353747,0.628525,0.177622,0.107812,11.126
9,0.01290252,0.716397,0.177445,0.104083,12.217
10,0.01236598,0.719098,0.177211,0.105821,12.982
11,0.01243778,0.730831,0.177239,0.103046,13.776
12,0.01207159,0.730151,0.177284,0.097673,14.851
13,0.01172490,0.730983,0.177234,0.093810,15.957
14,0.01162370,0.730874,0.177201,0.093820,17.912
15,0.01166505,0.731901,0.177200,0.093820,18.504
16,0.01165460,0.731966,0.177212,0.093817,19.129
17,0.01164654,0.731925,0.177200,0.093820,19.766
18,0.01164420,0.731907,0.177200,0.093820,20.365
19,0.01164420,0.731907,0.177200,0.093820,20.637
