eta,cl_norm,clmax_lim
0.0004,1.2282,1.7740
0.0037,1.2967,1.7740
0.0102,1.3049,1.7740
0.0199,1.3220,1.7740
0.0327,1.3445,1.7740
0.0486,1.3739,1.7740
0.0675,1.4115,1.7740
0.0892,1.4505,1.7740
0.1117,1.4903,1.7749
0.1345,1.5285,1.7768
0.1593,1.5825,1.7788
0.1860,1.6262,1.7810
0.2157,1.6704,1.7835
0.2483,1.7108,1.7862
0.2825,1.7403,1.7890
0.3240,1.7740,1.7924
0.3730,1.7953,1.7964
0.4171,1.7952,1.7960
0.4556,1.7829,1.7911
0.4892,1.7710,1.7867
0.5176,1.7420,1.7831
0.5459,1.7202,1.7794
0.5828,1.7031,1.7747
0.6278,1.6971,1.7689
0.6674,1.6933,1.7638
0.7014,1.6931,1.7594
0.7341,1.6940,1.7552
0.7695,1.7014,1.7506
0.8071,1.7035,1.7458
0.8388,1.7019,1.7417
0.8649,1.6900,1.7383
0.8889,1.6613,1.7352
0.9137,1.6179,1.7338
0.9387,1.5380,1.7338
0.9579,1.4139,1.7338
0.9716,1.2498,1.7338
0.9828,1.0391,1.7338
0.9912,0.7858,1.7338
0.9968,0.4914,1.7338
0.9996,0.1699,1.7338
