eta,cl_norm,clmax_lim
0.0004,0.9463,1.7740
0.0037,0.9151,1.7740
0.0102,0.9180,1.7740
0.0199,0.9272,1.7740
0.0327,0.9412,1.7740
0.0486,0.9605,1.7740
0.0675,0.9819,1.7740
0.0892,1.0053,1.7740
0.1133,1.0332,1.7750
0.1396,1.0614,1.7772
0.1683,1.0964,1.7795
0.1991,1.1362,1.7821
0.2318,1.1680,1.7848
0.2664,1.2095,1.7876
0.3025,1.2456,1.7906
0.3399,1.2883,1.7937
0.3784,1.3362,1.7969
0.4139,1.3737,1.7964
0.4462,1.4056,1.7923
0.4787,1.4336,1.7881
0.5113,1.4581,1.7839
0.5438,1.4865,1.7797
0.5801,1.5156,1.7750
0.6199,1.5516,1.7699
0.6588,1.5854,1.7649
0.6966,1.6150,1.7600
0.7331,1.6507,1.7553
0.7680,1.6795,1.7508
0.8011,1.7033,1.7466
0.8322,1.7241,1.7425
0.8611,1.7365,1.7388
0.8877,1.7360,1.7354
0.9118,1.7086,1.7338
0.9332,1.6525,1.7338
0.9519,1.5516,1.7338
0.9676,1.3982,1.7338
0.9803,1.1797,1.7338
0.9899,0.8994,1.7338
0.9964,0.5650,1.7338
0.9996,0.1953,1.7338
