malha_asa,vortices,alpha_deg,CL,CDind,CDff,e_oswald,xnp_m
4x13,146,3.8678,0.5053,0.010749,0.008988,0.9221,29.9639
6x20,328,3.8796,0.5053,0.010462,0.009193,0.9020,30.0428
8x27,582,3.8728,0.5053,0.010418,0.009178,0.9038,30.0533
9x30,738,3.8736,0.5053,0.010358,0.009218,0.9000,30.0579
10x35,966,3.8823,0.5053,0.010221,0.009243,0.8988,30.0634
12x40,1312,3.8752,0.5053,0.010141,0.009232,0.8984,30.0651
14x45,1710,3.8722,0.5053,0.010209,0.009221,0.8999,30.0737
15x50,2050,3.8720,0.5053,0.010155,0.009217,0.8990,30.0703
18x60,2952,3.8717,0.5053,0.010171,0.009224,0.8985,30.0717
21x70,4018,3.8739,0.5053,0.010190,0.009244,0.8978,30.0785
24x80,5248,3.8700,0.5053,0.009911,0.009230,0.8979,30.0776
