parametro,valor_avl,valor_mvo,fonte
CL0,0.06697,0.06697,ft, alpha = 0
CLa,6.46719,6.46719,st
CLq,10.8669,10.8669,st
CLit,0.013865,0.794406,st (g1)
CLde,0.007719,0.442266,st (d2)
CD0,0.0195358,0.0195358,ajuste item 5.b
CDa,-0.0423681,-0.0423681,ajuste item 5.b
CDa2,1.57697,1.57697,ajuste item 5.b
CDq,0.1535,0.1535,dif. finita
CDit,-0.00017,-0.00974028,dif. finita
CDde,-9e-05,-0.00515662,dif. finita
CM0,-0.13462,-0.13462,ft, alpha = 0
CMa,-2.2551,-2.2551,st
CMq,-32.4502,-32.4502,st
CMit,-0.05291,-3.03152,st (g1)
CMde,-0.030696,-1.75875,st (d2)
CYb,-0.402938,0.402938,st
CYp,0.025103,-0.025103,st
CYr,0.438552,-0.438552,st
CYdr,-0.004035,-0.231188,st (d3)
Clb,-0.235379,-0.235379,st
Clp,-0.560182,-0.560182,sb
Clr,0.17902,0.17902,sb
Clda,-0.004157,0.238179,sb (d1)
Cldr,-0.000505,0.0289344,sb (d3)
Cnb,0.173468,0.173468,st
Cnp,-0.09048,-0.09048,sb
Cnr,-0.203658,-0.203658,sb
Cnda,-0.000136,0.00779223,sb (d1)
Cndr,0.00219,-0.125478,sb (d3)
