alpha_deg,CL,CD,CDind,delta_e_deg
-4.2990,-0.5000,0.03155,0.01666,0.0000
-3.8527,-0.4500,0.02950,0.01461,0.0000
-3.4072,-0.4000,0.02764,0.01275,0.0000
-2.9624,-0.3500,0.02596,0.01107,0.0000
-2.5183,-0.3000,0.02447,0.00958,0.0000
-2.0747,-0.2500,0.02316,0.00827,0.0000
-1.6317,-0.2000,0.02204,0.00715,0.0000
-1.1890,-0.1500,0.02111,0.00622,0.0000
-0.7468,-0.1000,0.02037,0.00548,0.0000
-0.3049,-0.0500,0.01981,0.00492,0.0000
0.1367,-0.0000,0.01944,0.00455,0.0000
0.5782,0.0500,0.01926,0.00437,0.0000
1.0195,0.1000,0.01927,0.00438,0.0000
1.4608,0.1500,0.01946,0.00457,0.0000
1.9021,0.2000,0.01985,0.00496,0.0000
2.3434,0.2500,0.02042,0.00553,0.0000
2.7849,0.3000,0.02118,0.00629,0.0000
3.2266,0.3500,0.02214,0.00725,0.0000
3.6686,0.4000,0.02328,0.00839,0.0000
4.1109,0.4500,0.02461,0.00972,0.0000
4.5536,0.5000,0.02613,0.01124,0.0000
4.6006,0.5053,0.02630,0.01141,0.0000
4.9968,0.5500,0.02784,0.01295,0.0000
5.4405,0.6000,0.02975,0.01486,0.0000
5.8848,0.6500,0.03184,0.01695,0.0000
6.3297,0.7000,0.03412,0.01923,0.0000
6.7755,0.7500,0.03660,0.02171,0.0000
7.2220,0.8000,0.03927,0.02438,0.0000
7.6694,0.8500,0.04212,0.02723,0.0000
8.1177,0.9000,0.04517,0.03028,0.0000
8.2578,0.9156,0.04616,0.03127,0.0000
