alpha_deg,CL,CD,CDind,delta_e_deg
-4.6437,-0.5000,0.02808,0.01319,12.2122
-4.1563,-0.4500,0.02625,0.01136,11.6087
-3.6699,-0.4000,0.02461,0.00972,11.0058
-3.1842,-0.3500,0.02314,0.00825,10.4034
-2.6993,-0.3000,0.02187,0.00698,9.8015
-2.2151,-0.2500,0.02077,0.00588,9.1996
-1.7315,-0.2000,0.01986,0.00497,8.5978
-1.2483,-0.1500,0.01913,0.00424,7.9957
-0.7655,-0.1000,0.01858,0.00369,7.3933
-0.2831,-0.0500,0.01823,0.00334,6.7903
0.1990,0.0000,0.01805,0.00316,6.1865
0.6810,0.0500,0.01806,0.00317,5.5818
1.1629,0.1000,0.01826,0.00337,4.9760
1.6447,0.1500,0.01864,0.00375,4.3689
2.1267,0.2000,0.01921,0.00432,3.7603
2.6087,0.2500,0.01997,0.00508,3.1500
3.0910,0.3000,0.02092,0.00603,2.5378
3.5736,0.3500,0.02205,0.00716,1.9236
4.0565,0.4000,0.02337,0.00848,1.3071
4.5400,0.4500,0.02488,0.00999,0.6881
5.0240,0.5000,0.02658,0.01169,0.0664
5.0753,0.5053,0.02677,0.01188,0.0003
5.5086,0.5500,0.02847,0.01358,-0.5581
5.9939,0.6000,0.03054,0.01565,-1.1858
6.4800,0.6500,0.03281,0.01792,-1.8167
6.9670,0.7000,0.03526,0.02037,-2.4512
7.4550,0.7500,0.03791,0.02302,-3.0895
7.9440,0.8000,0.04075,0.02586,-3.7318
8.4341,0.8500,0.04377,0.02888,-4.3783
8.9255,0.9000,0.04699,0.03210,-5.0293
9.4183,0.9500,0.05040,0.03551,-5.6852
9.9124,1.0000,0.05400,0.03911,-6.3460
10.4081,1.0500,0.05779,0.04290,-7.0121
10.9054,1.1000,0.06178,0.04689,-7.6838
11.3435,1.1439,0.06543,0.05054,-8.2784
