alpha_deg,CL,CD,CDind,delta_e_deg
-3.4908,-0.5000,0.02916,0.01427,0.0000
-3.0464,-0.4500,0.02724,0.01235,0.0000
-2.6028,-0.4000,0.02551,0.01062,0.0000
-2.1598,-0.3500,0.02396,0.00907,0.0000
-1.7174,-0.3000,0.02260,0.00771,0.0000
-1.2756,-0.2500,0.02144,0.00654,0.0000
-0.8343,-0.2000,0.02045,0.00556,0.0000
-0.3934,-0.1500,0.01966,0.00477,0.0000
0.0472,-0.1000,0.01906,0.00417,0.0000
0.4875,-0.0500,0.01864,0.00375,0.0000
0.9275,-0.0000,0.01841,0.00352,0.0000
1.3675,0.0500,0.01838,0.00349,0.0000
1.8073,0.1000,0.01853,0.00364,0.0000
2.2471,0.1500,0.01887,0.00398,0.0000
2.6869,0.2000,0.01940,0.00451,0.0000
3.1269,0.2500,0.02013,0.00524,0.0000
3.5670,0.3000,0.02104,0.00615,0.0000
4.0074,0.3500,0.02214,0.00725,0.0000
4.4480,0.4000,0.02343,0.00854,0.0000
4.8891,0.4500,0.02492,0.01003,0.0000
5.3305,0.5000,0.02659,0.01170,0.0000
5.3773,0.5053,0.02678,0.01189,0.0000
5.7725,0.5500,0.02846,0.01357,0.0000
6.2150,0.6000,0.03052,0.01563,0.0000
6.6581,0.6500,0.03276,0.01787,0.0000
7.1020,0.7000,0.03520,0.02031,0.0000
7.5466,0.7500,0.03784,0.02295,0.0000
7.9920,0.8000,0.04066,0.02577,0.0000
8.4384,0.8500,0.04368,0.02879,0.0000
8.8857,0.9000,0.04689,0.03200,0.0000
9.3341,0.9500,0.05029,0.03540,0.0000
9.7837,1.0000,0.05388,0.03899,0.0000
10.2344,1.0500,0.05767,0.04278,0.0000
10.6865,1.1000,0.06165,0.04676,0.0000
11.1399,1.1500,0.06583,0.05094,0.0000
11.4381,1.1828,0.06867,0.05378,0.0000
