alpha_deg,CL,CD,CDind,delta_e_deg
-5.4220,-0.5000,0.02708,0.01219,20.7337
-4.9034,-0.4500,0.02523,0.01034,19.7009
-4.3859,-0.4000,0.02356,0.00867,18.6705
-3.8695,-0.3500,0.02210,0.00721,17.6420
-3.3539,-0.3000,0.02083,0.00594,16.6150
-2.8391,-0.2500,0.01977,0.00488,15.5893
-2.3250,-0.2000,0.01890,0.00401,14.5644
-1.8115,-0.1500,0.01824,0.00335,13.5399
-1.2986,-0.1000,0.01777,0.00288,12.5156
-0.7860,-0.0500,0.01751,0.00262,11.4911
-0.2737,-0.0000,0.01745,0.00256,10.4660
0.2383,0.0500,0.01759,0.00270,9.4399
0.7502,0.1000,0.01793,0.00304,8.4125
1.2621,0.1500,0.01848,0.00359,7.3835
1.7741,0.2000,0.01923,0.00434,6.3525
2.2863,0.2500,0.02019,0.00530,5.3191
2.7987,0.3000,0.02135,0.00646,4.2830
3.3115,0.3500,0.02272,0.00783,3.2437
3.8248,0.4000,0.02430,0.00941,2.2009
4.3386,0.4500,0.02608,0.01119,1.1543
4.8531,0.5000,0.02807,0.01318,0.1034
4.9077,0.5053,0.02829,0.01340,-0.0083
5.3684,0.5500,0.03027,0.01538,-0.9522
5.8845,0.6000,0.03267,0.01778,-2.0129
6.4017,0.6500,0.03528,0.02039,-3.0791
6.9199,0.7000,0.03811,0.02322,-4.1512
7.4393,0.7500,0.04114,0.02625,-5.2297
7.9600,0.8000,0.04438,0.02949,-6.3150
8.2606,0.8288,0.04634,0.03145,-6.9434
